江西本地,#genre#
NHK华语视界HD,https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
Y+频道,http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229999/01.m3u8?fmt=ts2hls
Y+频道,http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230226/index.m3u8
yy电影,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
yy影视,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
阿坝综合,http://222.214.9.34:90/live/zhpd.m3u8
爱上4K测试,http://39.134.24.24/PLTV/88888888/224/3221226005/index.m3u8
爱上4K测试,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
安徽影视台,http://zbbf2.ahtv.cn/live/756.m3u8
奥斯卡,http://dl.zhoujie218.top/dl/youku.php?id=8018655
奥斯卡经典,http://dl.zhoujie218.top/dl/youku.php?id=8018655
电视剧FHD,http://39.134.116.30:8080/PLTV/88888910/224/3221225712/index.m3u8
电视剧FHD,http://39.134.116.30:8080/PLTV/88888910/224/3221225660/index.m3u8
电视剧封神榜,https://tx.liveplay.live.kugou.com/live/fx_hifi_1573309100_avc.m3u8
电视剧还珠格格,https://tx.liveplay.live.kugou.com/live/fx_hifi_1573309100_avc.m3u8
电视剧小李飞刀,https://tx.liveplay.live.kugou.com/live/fx_hifi_1573309100_avc.m3u8
东至影视台,,http://223.247.33.124:1935/live/yingshi/playlist.m3u8
斗鱼电影25,http://tx2play1.douyucdn.cn/live/122402rK7MO9bXSq_2000p.xs
斗鱼电影31,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.xs
斗鱼电影8,http://tx2play1.douyucdn.cn/live/85894rmovieChow_2000p.xs
风尚音乐,http://125.210.152.21:9120/live/FSYY.m3u8
凤凰电影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
福州影视台,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
高清娱乐,http://125.210.152.21:9120/live/GQYL.m3u8
郭富城,http://dl.zhoujie218.top/dl/youku.php?id=8027876
华数服务HD,http://125.210.152.21:9120/live/HSFWHD.m3u8
欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
机器人总动员,http://dl.zhoujie218.top/dl/youku.php?id=8019685
纪实人文,http://39.134.115.163:8080/PLTV/88888910/224/3221225655/index.m3u8
江苏影视,http://223.110.243.135/PLTV/4/224/3221225937/index.m3u8
金庸武侠,http://dl.zhoujie218.top/dl/youku.php?id=8026519
经典电影,http://tx2play1.douyucdn.cn/85894rmovieChow_4000p.xs?uuid=
经典校园,http://dl.zhoujie218.top/dl/youku.php?id=8018659
经典影视,https://tx.liveplay.live.kugou.com/live/fx_hifi_251702616_avc.m3u8
精彩电视剧高清2K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
精彩电影高清2K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
精彩综艺高清2K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8
警匪电影,http://dl.zhoujie218.top/dl/youku.php?id=8019691
酷影厅,http://dl.zhoujie218.top/dl/youku.php?id=8032841
蓝光影视14台,http://ivi.bupt.edu.cn/hls/chchd.m3u8
黎明,http://dl.zhoujie218.top/dl/youku.php?id=8028239
刘德华,http://dl.zhoujie218.top/dl/youku.php?id=8018618
美人高清,,http://39.134.39.38/PLTV/88888888/224/3221226339/index.m3u8
末世硬核,http://dl.zhoujie218.top/dl/youku.php?id=8019690
南安卫视,http://natv.cnjrna.com:3000/channel/sovp/1000000000000018/video_1564_none.m3u8
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索二,http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8
求索记录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索三,http://39.134.65.162/PLTV/88888888/224/3221225728/index.m3u8
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索四,http://39.134.65.162/PLTV/88888888/224/3221225730/index.m3u8
求索一,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8
如果可以这样爱,http://dl.zhoujie218.top/dl/youku.php?id=8019192
上海东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海东方影视,http://39.134.39.39/PLTV/88888888/224/3221226189/index.m3u8
邵氏老电影HD,http://42.56.91.136/live-bvc/164219/live_97065163_17925468.m3u8
绍兴影视台,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
神乐华语-斗鱼,https://tx2play1.douyucdn.cn/live/85894rmovieChow_900p.xs?uuid=web-h5-0-85894-a3575d938a4aa3091c09ccbd5c24bf146a02074c80cec221
四川峨眉电影,http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/scem/index.m3u8?IAS
四川影视,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
四川影视HD,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
四川影视台,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
宋慧乔,http://dl.zhoujie218.top/dl/youku.php?id=8020223
五星体育,http://183.207.255.188/live/program/live/ssty/4000000/mnf.m3u8
西安影视台,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
香港经典,http://dl.zhoujie218.top/dl/youku.php?id=8019324
新视觉HD,http://125.210.152.21:9120/live/XSJHD.m3u8
玄幻影院,https://tx.liveplay.live.kugou.com/live/fx_hifi_1308614369_avc.m3u8
一站到底,http://dl.zhoujie218.top/dl/youku.php?id=8019585
岳西影视,,http://58.243.4.22:1935/live/yingshi/chunklist_w522017317.m3u8
粤语片,http://dl.zhoujie218.top/dl/youku.php?id=8019006
择天记,http://dl.zhoujie218.top/dl/youku.php?id=8019978
张国荣,http://dl.zhoujie218.top/dl/youku.php?id=8019325
张学友,http://dl.zhoujie218.top/dl/youku.php?id=8027929
浙江影视台,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
周润发,http://dl.zhoujie218.top/dl/youku.php?id=8021907
周润发,http://dl.zhoujie218.top/dl/youku.php?id=8019007
周星驰,http://dl.zhoujie218.top/dl/youku.php?id=8021901
邹城文化,http://jsylivealone302.iqilu.com/live/zoucheng_tv02.m3u8






儿童频道,#genre#

金鹰卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221225585/iptv7983.smil
哈哈动画,rtsp://115.153.254.81/PLTV/88888888/224/3221225583/iptv7982.smil
卡酷动画,rtsp://115.153.254.81/PLTV/88888888/224/3221225566/iptv101695.smil
